id,parent,role,path,name
000000000000000000000010,,999999999999999999999999;000000000000000000000001;000000000000000000000002;000000000000000000000003;000000000000000000000004,,奖证工作
000000000000000000000020,,999999999999999999999999;000000000000000000000001,,功能管理
000000000000000000000030,,999999999999999999999999,,系统管理
000000000000000000000011,000000000000000000000010,999999999999999999999999;000000000000000000000001;000000000000000000000003;000000000000000000000004,/admin/apply/table,奖证提交
000000000000000000000012,000000000000000000000010,999999999999999999999999;000000000000000000000001;000000000000000000000002,/admin/audit/table,奖证审核
000000000000000000000013,000000000000000000000010,999999999999999999999999;000000000000000000000001;000000000000000000000003,/admin/setting/table,模板设置
000000000000000000000014,000000000000000000000010,999999999999999999999999;000000000000000000000001;000000000000000000000002;000000000000000000000003;000000000000000000000004,/admin/print/table,奖证打印
000000000000000000000015,000000000000000000000010,999999999999999999999999;000000000000000000000001;000000000000000000000002;000000000000000000000003;000000000000000000000004,/admin/table/table,表格套打
000000000000000000000021,000000000000000000000020,999999999999999999999999;000000000000000000000001,/admin/award/table,奖证管理
000000000000000000000022,000000000000000000000020,999999999999999999999999;000000000000000000000001,/admin/template/table,模板管理
000000000000000000000023,000000000000000000000020,999999999999999999999999,/admin/table/table,表格管理
000000000000000000000024,000000000000000000000020,999999999999999999999999,/admin/font/table,字体管理
000000000000000000000025,000000000000000000000020,999999999999999999999999,/admin/school/table,学校管理
000000000000000000000026,000000000000000000000020,999999999999999999999999;000000000000000000000001,/admin/clazz/table,班级管理
000000000000000000000027,000000000000000000000020,999999999999999999999999;000000000000000000000001,/admin/student/table,学生管理
000000000000000000000031,000000000000000000000030,999999999999999999999999,/admin/menu/table,菜单管理
000000000000000000000032,000000000000000000000030,999999999999999999999999,/admin/user/table,用户管理
000000000000000000000033,000000000000000000000030,999999999999999999999999,/admin/role/table,角色管理
000000000000000000000034,000000000000000000000030,999999999999999999999999,/admin/upload/table,上传管理
000000000000000000000035,000000000000000000000030,999999999999999999999999,/admin/aspect/table,切面管理
000000000000000000000036,000000000000000000000030,999999999999999999999999,/admin/restriction/table,限制管理
